GreedyTranslation,HYPOTHESIS SCORE,REF SCORE
*,2.4736017950237663e+63,-4431473671851.605
"und wissen Sie , wo die Werkstatt ist ?",1.457321978901764e+61,8.761507338436979e+90
". Nein . Ich weiß nicht , wo es ist .",1.7704848240475038e+60,1.2921956151944894e+144
Es ist eine Meile nördlich des City Center .,8.58553207082193e+61,1.3626233552581153e+159
*,2.4736017950237663e+63,-4431473671851.605
". Wissen Sie , wer den Film gedreht hat ?",1.6021799726985567e+61,6.999619052436992e+193
Robert Rodriguez hat es gedreht .,1.9952880060894993e+61,-6.436273829273365e+143
*,2.4736017950237663e+63,-4431473671851.605
". Wissen Sie , wer den Film gedreht hat ?",1.6021799726985567e+61,6.999619052436992e+193
Robert Rodriguez hat es gedreht .,1.9952880060894993e+61,-6.436273829273365e+143
*,2.4736017950237663e+63,-4431473671851.605
"Hallo , wie kann ich Ihnen helfen ?",6.305415140815672e+90,-7.987806363001668e+69
". Ja . Ich wollte sehen , ob irgendwo in der Innenstadt von Atlanta der Film A Madea Family Funeral gezeigt wird .",1.7910166511973984e+90,0
. Ich möchte es so schnell wie möglich sehen .,4.62434118400221e+91,3.7175712194427534e+94
"Ok , lassen Sie mich ein Kino in Ihrer Nähe finden .",5.1810533829192145e+90,-5.411083532087255e+122
*,6.559171187295755e+94,2565935.509231824
Irgendwelche Präferenzen im Kino ?,7.679787914711257e+90,8.920048560299232e+62
"Okay , die nächste verfügbare Zeit , die ich gefunden habe , ist bei SilverCity Windsor Cinemas um 18 : 40 Uhr .",6.04808278230355e+92,0
". Ja , das passt .",1.5674329752014557e+92,-2.8056273846853646e+69
"Okay , wie viele Tickets ?",5.8163849542507524e+91,-5.812476160623404e+58
Eins .,2.974884559796244e+93,-9.215542422721886e+18
"Der Gesamtbetrag für ein Ticket beträgt 14,33 $ .",2.243441475934182e+92,3.716902428257199e+88
*,6.559171187295755e+94,2565935.509231824
"Ok , es ist 13 : 50 Uhr . Wie viele Tickets brauchen Sie ?",1.5754572079263314e+90,-2.267895886371748e+188
. Ich brauche nur eins .,6.804245211006178e+92,-1.9985973328926188e+61
Gut . Es gibt noch eine .,4.124688295955672e+91,-1.4584380220393676e+45
*,6.559171187295755e+94,2565935.509231824
"Als erstes fand ich den Buckhorn Grill , eine familienfreundliche Kette mit 4,4 Sternen , die große Portionen Steaks , Sandwiches , Burger & andere amerikanische Gerichte anbietet . Dann gibt es noch das Mulvaney ' s B & L , das ein bisschen höher ist , aber eine 4,7-Sterne-Bewertung hat und ein New American Fare in einer umgebauten Feuerwehrwache bietet .",5.858535351318648e+95,-0
. Haben Sie noch eine Wahl ?,1.674495691560639e+90,-4.4624699079966325e+49
"Es gibt noch eines , das Broderick Roadhouse , Ihr klassischer Roadhouse Hamburger Platz mit 4,4 Sternen .",1.3559943722394807e+90,0
*,6.559171187295755e+94,2565935.509231824
"Natürlich , welchen Film wollten Sie sehen ?",3.2019053483790045e+91,5.759809708641092e+59
. Ich möchte Captain Marvel sehen .,1.89739122836414e+92,8.807048527685279e+74
Und in welchem Kino wollten Sie ihn sich ansehen ?,5.826977231214179e+89,1.5632229764999042e+66
". Ich hatte gehofft , dass der United Artists King of Prussia , Pennsylvania , zu dieser Zeit eine große Rolle spielt .",3.7686935751503485e+34,-0
"Großartig , haben Sie eine bevorzugte Vorstellungszeit ?",6.429912079162672e+34,-8.082864290489607e+278
". Ja , was auch immer die nächste Vorstellung ist .",6.451957882513205e+34,-0
Es ist um 14 : 40 Uhr . Passt das für Sie ?,1.4873923763811942e+35,0
*,2.296010274110121e+35,-4.553114229361462e+31
"Es tut mir leid , diese Vorstellung ist ausverkauft . Soll ich eine andere auswählen oder die Bestellung stornieren ?",7.904453405137095e+35,0
. Bitte stornieren Sie die Bestellung .,9.24252119544176e+34,-9.711634034352205e+212
Ich habe es storniert .,2.3552533649568074e+35,6.435246089035244e+148
*,2.296010274110121e+35,-4.553114229361462e+31
"Es tut mir leid , diese Vorstellung ist ausverkauft . Soll ich eine andere auswählen oder die Bestellung stornieren ?",7.904453405137095e+35,0
. Bitte stornieren Sie die Bestellung .,9.24252119544176e+34,-9.711634034352205e+212
Ich habe es storniert .,2.3552533649568074e+35,6.435246089035244e+148
*,2.296010274110121e+35,-4.553114229361462e+31
Es ist um 16 : 15 Uhr ! Passt ihnen das ?,2.522988832226871e+35,0
". Okay , machen wir das . Werde ich die 0ormationen auf meinem Handy bekommen ?",1.8683935848876147e+35,0
"Ja , Sie sind fertig und Sie bekommen es per Handy .",4.687788650873672e+34,-3.804873677641649e+299
*,2.296010274110121e+35,-4.553114229361462e+31
ok und welche Art von Essen möchten Sie ?,7.717692810436484e+34,7.744017283777982e+160
. Ich suche herzhaftes Essen .,5.570303122457028e+34,0
"Sicher , e0ache herzhafte Gerichte .",5.370193473225604e+34,-1.439260225627954e+203
*,2.296010274110121e+35,-4.553114229361462e+31
. Und wie lautet die Nummer des Restaurants ?,1.1707901959140113e+35,1.1849951024812328e+231
Lassen Sie mich es Ihnen sofort mitteilen .,4.7030172604615565e+34,-2.9282225416865885e+127
*,2.296010274110121e+35,-4.553114229361462e+31
Es wird eine Inspektionsgebühr in Höhe von 89 $ in diesem Shop erhoben .,1.4721887367771835e+35,-0
"Sind Sie damit einverstanden , es zu zahlen ?",1.5130311469269308e+35,3.2413494238034374e+103
*,2.296010274110121e+35,-4.553114229361462e+31
"Großartig . Und welche Art von Fahrt wollten Sie , Uber oder Lyft ?",1.2836371688651364e+35,-0
. Ich wollte eine Fahrt mit Uber .,7.147431167026982e+34,2.9845031753680554e+233
Für wie viele Personen ist es ?,2.825437514691812e+34,-9.422928198220196e+173
*,2.296010274110121e+35,-4.553114229361462e+31
"Großartig . Und welche Art von Fahrt wollten Sie , Uber oder Lyft ?",1.2836371688651364e+35,-0
. Ich wollte eine Fahrt mit Uber .,7.147431167026982e+34,2.9845031753680554e+233
Für wie viele Personen ist es ?,2.825437514691812e+34,-9.422928198220196e+173
*,2.296010274110121e+35,-4.553114229361462e+31
Können Sie andere Optionen für mich finden ?,2.988163689311004e+34,0
Es gibt keine andere Option .,1.2742460003154368e+35,1.5465344417271714e+84
*,2.296010274110121e+35,-4.553114229361462e+31
". Ich würde gerne wissen , was die ersten Bewertungen auf Yelp sind ?",1.3102849705653608e+35,0
Es gibt nur eins .,1.3072504892869692e+35,-2.4411440925377564e+302
*,2.296010274110121e+35,-4.553114229361462e+31
"Ok , bitte beachten Sie , dass dies kein Trinkgeld für den Fahrer enthält .",2.116542234010092e+35,-0
. Ist 30 % als Trinkgeld in Ordnung ?,2.022350613699979e+34,-0
"Ja , das ist mehr als großartig .",6.245391628034523e+34,3.314485332219117e+257
*,2.296010274110121e+35,-4.553114229361462e+31
. Ich bin bei Distrito . Das ist ein Restaurant in Philadelphia .,3.7109831114096285e+35,-0
Können Sie bitte ihren Namen wiederholen ?,1.1436481182912258e+35,-9.06502513881843e+96
*,2.296010274110121e+35,-4.553114229361462e+31
"Könnten Sie mir sagen , wer in diesem Film die Hauptrolle spielt ?",1.0774281591805524e+35,-0
Es wird von Rebel Wilson gespielt .,9.079389926917117e+34,2.1696309876898113e+238
*,2.296010274110121e+35,-4.553114229361462e+31
"Könnten Sie mir sagen , wer in diesem Film die Hauptrolle spielt ?",1.0774281591805524e+35,-0
Es wird von Rebel Wilson gespielt .,9.079389926917117e+34,2.1696309876898113e+238
*,2.296010274110121e+35,-4.553114229361462e+31
Wo ist der Abgabeort ?,1.2587848816623494e+35,1.7458877989301833e+150
. Der Abgabeort ist bei der La Purisima Mission .,1.7202483838440104e+35,-0
Ich kann es in unserem System nicht finden .,3.063743200147788e+34,4.771455048091758e+189
*,2.296010274110121e+35,-4.553114229361462e+31
. Ich möchte eine Komödie sehen .,5.380874252284661e+34,0
"Das einzige , das jetzt zeigt , ist Aquaman .",5.811753726522933e+34,-0
*,2.296010274110121e+35,-4.553114229361462e+31
. Ich möchte eine Komödie sehen .,5.380874252284661e+34,0
"Das einzige , das jetzt zeigt , ist Aquaman .",5.811753726522933e+34,-0
*,2.296010274110121e+35,-4.553114229361462e+31
"Hallo . Ich bin in Sacramento , Kalifornien in der Nähe von Midtown in der Nähe der L Street 19th Street und suche einen Ort , der chinesisches Essen anbietet .",1.2924159848947733e+44,0
"Gibt es noch andere Kriterien , die für Sie wichtig sind ?",3.313991824499772e+42,2.171942190484315e+179
. Ja . Ich möchte nicht viel ausgeben .,1.6268410803951791e+41,2.063180664964961e+205
"ok , Sie wollen eins , das erschwinglich ist .",1.582641399395838e+42,-5.6480771355221376e+274
*,1.6040637271057295e+43,-3.6331010135930157e+17
"Hallo . Ich bin in Sacramento , Kalifornien in der Nähe von Midtown und suche ein Restaurant , das chinesisches Essen anbietet und wo ich schnell essen kann .",9.64544238477721e+43,0
"Ok , Sie möchten eine lockere Vorstellung .",2.9819604878009173e+41,-8.067778261503776e+252
*,1.6040637271057295e+43,-3.6331010135930157e+17
"Hallo . Ich bin in Sacramento , Kalifornien in der Nähe von Midtown und suche ein Restaurant , das chinesisches Essen anbietet und wo ich schnell essen kann .",9.64544238477721e+43,0
"Ok , Sie möchten eine lockere Vorstellung .",2.9819604878009173e+41,-8.067778261503776e+252
*,1.6040637271057295e+43,-3.6331010135930157e+17
"Hallo . Ich bin in Sacramento , Kalifornien in der Nähe von Midtown und suche ein Restaurant , das chinesisches Essen anbietet und wo ich schnell essen kann .",9.64544238477721e+43,0
"Ok , Sie möchten eine lockere Vorstellung .",2.9819604878009173e+41,-3.880385593120207e+270
*,1.6040637271057295e+43,-3.6331010135930157e+17
"Hallo . Ich bin in Sacramento , Kalifornien in der Nähe von Midtown und suche ein Restaurant , das chinesisches Essen anbietet und wo ich schnell essen kann .",9.64544238477721e+43,0
"Ok , Sie möchten eine lockere Vorstellung .",2.9819604878009173e+41,-3.880385593120207e+270
*,1.6040637271057295e+43,-3.6331010135930157e+17
. Haben Sie eine andere Empfehlung ?,1.8967879357440956e+42,1.5598168013182373e+134
"Ja , ich habe noch einen anderen .",3.8721741983803134e+42,-1.5326271104895505e+104
*,1.6040637271057295e+43,-3.6331010135930157e+17
Hallo . Ich möchte eine Uber-Fahrt von Cinemark University City Penn 6 in Philadelphia buchen und mein Ziel ist Talula ' s Garden .,9.187343224251082e+43,0
"Ok , das ist außerhalb der Stadtgrenze und es gibt eine zusätzliche Gebühr .",2.4213622163600975e+42,-0
*,1.6040637271057295e+43,-3.6331010135930157e+17
Hallo . Ich möchte eine Uber-Fahrt von Cinemark University City Penn 6 in Philadelphia buchen und mein Ziel ist Talula ' s Garden .,9.187343224251082e+43,0
"Ok , das ist außerhalb der Stadtgrenze und es gibt eine zusätzliche Gebühr .",2.4213622163600975e+42,-0
*,1.6040637271057295e+43,-3.6331010135930157e+17
Was möchten Sie bestellen ?,3.597036148982605e+42,1.1983981906562984e+41
. Könnte ich zwei mittelgroße Pizzen haben ? Wie viel kostet Schinken als Belag ?,1.7312396865926677e+43,-0
Es kostet 2 $ pro Pizza .,3.7807608100365375e+42,-1.413576443728611e+129
*,1.6040637271057295e+43,-3.6331010135930157e+17
Was möchten Sie bestellen ?,3.597036148982605e+42,1.1983981906562984e+41
. Könnte ich zwei mittelgroße Pizzen haben ? Wie viel kostet Schinken als Belag ?,1.7312396865926677e+43,-0
Es kostet 2 $ pro Pizza .,3.7807608100365375e+42,-1.413576443728611e+129
*,1.6040637271057295e+43,-3.6331010135930157e+17
"Sie erhalten eine Benachrichtigung , wenn der Fahrer auf dem Weg ist , Sie abzuholen .",3.2583346432705367e+43,0
"Vega Okay , perfekt . Ich habe die Benachrichtigung bereits erhalten .",1.7277115776283232e+42,-0
Sie haben es schon verstanden ?,1.062518396225548e+42,1.7184720836167332e+95
*,1.6040637271057295e+43,-3.6331010135930157e+17
"Sie erhalten eine Benachrichtigung , wenn der Fahrer auf dem Weg ist , Sie abzuholen .",3.2583346432705367e+43,0
"Vega Okay , perfekt . Ich habe die Benachrichtigung bereits erhalten .",1.7277115776283232e+42,-0
Sie haben es schon verstanden ?,1.062518396225548e+42,1.7184720836167332e+95
*,1.6040637271057295e+43,-3.6331010135930157e+17
"Toll , können Sie mir bitte das Jahr Ihres Autos mitteilen ?",2.896171758298686e+42,2.533614040588381e+288
. Ich muss nach dem Jahr des Autos suchen .,1.0357202642309206e+42,7.417393594631463e+213
"Ok , Sie können mir später davon Bescheid geben .",2.6285795980051438e+42,-1.771395247914044e+187
*,1.6040637271057295e+43,-3.6331010135930157e+17
"Toll , können Sie mir bitte das Jahr Ihres Autos mitteilen ?",1.3724229809984599e+35,0
. Ich muss nach dem Jahr des Autos suchen .,4.237270096599931e+34,0
"Ok , Sie können mir später davon Bescheid geben .",1.0619567716059977e+35,0
*,2.2960120727687754e+35,9.145381107306465e+32
. Ich möchte einen Termin für die Inspektion meines Autos vereinbaren .,2.8292992190808357e+35,-0
Wann passt es für Sie ?,3.7794609402009545e+34,-1.087353987112315e+83
*,2.2960120727687754e+35,9.145381107306465e+32
. Ich möchte einen Termin für die Inspektion meines Autos vereinbaren .,2.8292992190808357e+35,-0
Wann passt es für Sie ?,3.7794609402009545e+34,-1.087353987112315e+83
*,2.2960120727687754e+35,9.145381107306465e+32
Wie kann ich Ihnen heute helfen ?,8.369553266350437e+34,-9.85664931416832e+134
". Ich würde gerne einen Film sehen . Wissen Sie , ob Isn ' t It Romantic gut ist ?",5.378231201912241e+35,0
Dieser Film ist überholt .,5.88427991199278e+34,-1.9739561368319343e+107
*,2.2960120727687754e+35,9.145381107306465e+32
"Ich habe zwei Optionen gefunden . Die erste ist ein italienisches Restaurant und die zweite ist mexikanisch , beide mit Sitzgelegenheiten im Freien .",1.5994824390569235e+36,-0
. Sind beide gut für Familien ?,3.7760950447577526e+34,7.429573026060883e+303
Die Angebote im mexikanischen Restaurant können heiß sein .,1.783133952252069e+35,0
*,2.2960120727687754e+35,9.145381107306465e+32
Womit kann ich Ihnen behilflich sein ?,1.832015814882745e+35,-1.3425337978894659e+85
"Es ist daran interessiert , Pizza aus der neuen Pizzeria namens Bella Luna zu bestellen . Haben ihre Pizzen gute Kritiken ?",1.0202403491062095e+36,0
Sie sollen gut sein .,6.330191007758508e+34,2.9750274092322893e+108
*,2.2960120727687754e+35,9.145381107306465e+32
Womit kann ich Ihnen behilflich sein ?,1.832015814882745e+35,-1.3425337978894659e+85
"Es ist daran interessiert , Pizza aus der neuen Pizzeria namens Bella Luna zu bestellen . Haben ihre Pizzen gute Kritiken ?",1.0202403491062095e+36,0
Sie sollen gut sein .,6.330191007758508e+34,2.9750274092322893e+108
*,2.2960120727687754e+35,9.145381107306465e+32
Womit kann ich Ihnen behilflich sein ?,1.832015814882745e+35,-1.3425337978894659e+85
"Es ist daran interessiert , Pizza aus der neuen Pizzeria namens Bella Luna zu bestellen . Haben ihre Pizzen gute Kritiken ?",1.0202403491062095e+36,0
Sie sollen gut sein .,6.330191007758508e+34,2.9750274092322893e+108
*,2.2960120727687754e+35,9.145381107306465e+32
. Ist das Broderick Grillhouse kinderfreundlich ? Gibt es dort einen Spielplatz ?,3.55019613684507e+35,0
Ja . Es ist schön für Kinder .,1.2225215544615415e+34,-1.2314092783799436e+274
*,2.2960120727687754e+35,9.145381107306465e+32
. Ich brauche nur ein Ticket .,1.250467461334706e+35,-7.731906369164306e+258
"Großartig , Sie können es an der Theke abholen .",8.608229840489252e+34,-5.90634210798565e+287
*,2.2960120727687754e+35,9.145381107306465e+32
". Ist der Film , der mit meiner Familie kämpft , gut ?",8.649562359033371e+34,-0
"Ja , es hat gute Kritiken .",8.92348873777201e+34,2.3915765627019153e+164
*,2.2960120727687754e+35,9.145381107306465e+32
". Ist der Film , der mit meiner Familie kämpft , gut ?",8.649562359033371e+34,-0
"Ja , es hat gute Kritiken .",8.92348873777201e+34,2.3915765627019153e+164
*,2.2960120727687754e+35,9.145381107306465e+32
Womit kann ich Ihnen behilflich sein ?,1.3971778673120673e+35,1.1266167393249715e+117
. Könnten Sie mir bei der Bestellung bei Starbucks helfen ?,1.2713764722924214e+35,-0
Natürlich kann ich Ihnen dabei helfen .,4.8834913315128835e+34,-9.943850803767132e+236
*,2.2960120727687754e+35,9.145381107306465e+32
. Ich hätte gerne eine Sojamilch .,4.5468878231388965e+35,0
Wir sind draußen .,5.436470846431927e+34,-2.3213652980898784e+82
*,2.2960120727687754e+35,9.145381107306465e+32
. Ich hätte gerne eine Sojamilch .,4.5468878231388965e+35,0
Wir sind draußen .,5.436470846431927e+34,3.9723923444230797e+99
*,2.2960120727687754e+35,9.145381107306465e+32
. Ich hätte gerne einen Kaffee .,8.704611984071864e+34,-5.662921896140545e+227
Hier . Genießen Sie es .,3.0716917207373913e+34,1.0742671538509763e+273
*,2.2960120727687754e+35,9.145381107306465e+32
. Ich hätte gerne einen Kaffee .,8.704611984071864e+34,-5.662921896140545e+227
Hier . Genießen Sie es .,3.0716917207373913e+34,1.0742671538509763e+273
*,2.2960120727687754e+35,9.145381107306465e+32
. Ich muss meine Reservierung stornieren .,1.0651682167600833e+35,-4.7971152207216624e+243
Ich habe es storniert .,2.3552538455605634e+35,-7.082919234977294e+179
*,2.2960120727687754e+35,9.145381107306465e+32
. Ich muss meine Reservierung stornieren .,1.0651682167600833e+35,-4.7971152207216624e+243
Ich habe es storniert .,2.3552538455605634e+35,-7.082919234977294e+179
*,2.2960120727687754e+35,9.145381107306465e+32
. Wie wäre es mit einem anderen Kino ?,22832117198689.758,3.78957879248157e+38
Es gibt nur eins in Winnsboro .,41679800060083.38,7.115344205031841e+43
*,10209154527770.773,16736.507221507418
. Wie wäre es mit einem anderen Kino ?,22832117198689.758,3.78957879248157e+38
Es gibt nur eins in Winnsboro .,41679800060083.38,7.115344205031841e+43
*,10209154527770.773,16736.507221507418
